カテゴリ,要求詳細,優先順位,工数(営業日)
認証・アクセス制御,ユーザー認証機能（ログイン/ログアウト）,高,3
認証・アクセス制御,パスワードリセット機能,中,2
認証・アクセス制御,アカウント管理機能,中,4
ダッシュボード,進行中のワークフロー一覧表示,高,3
ダッシュボード,タスク一覧表示,高,2
ダッシュボード,遅延タスク・期限間近タスクの可視化,高,3
ダッシュボード,工事進捗状況のグラフ表示,中,4
ダッシュボード,ダッシュボードのカスタマイズ機能,低,5
工事台帳管理,工事台帳一覧表示,高,2
工事台帳管理,工事台帳の新規登録機能,高,3
工事台帳管理,工事台帳の詳細表示,高,2
工事台帳管理,工事台帳の編集・更新機能,高,3
工事台帳管理,工事台帳の複製機能,中,1
工事台帳管理,工事台帳の検索・フィルタリング機能,中,3
工事台帳管理,工事台帳のエクスポート機能,低,2
タスク管理,タスク一覧表示,高,2
タスク管理,タスクの新規作成機能,高,2
タスク管理,タスクの詳細表示,高,2
タスク管理,タスクのステータス更新機能,高,1
タスク管理,タスクの担当者割り当て機能,高,2
タスク管理,タスクの期限設定・管理機能,高,2
タスク管理,タスクの優先順位設定,中,1
タスク管理,タスクの検索・フィルタリング機能,中,3
タスク管理,タスクの依存関係設定機能,低,4
WBS管理,WBS（作業分解構造）表示,高,4
WBS管理,WBSの作成・編集機能,高,5
WBS管理,WBSのインポート・エクスポート機能,中,3
WBS管理,WBSのバージョン管理,低,4
ワークフロー管理,ワークフロー一覧表示,高,2
ワークフロー管理,ワークフローテンプレート作成機能,高,4
ワークフロー管理,ワークフローの新規作成機能,高,3
ワークフロー管理,ワークフローの詳細表示,高,2
ワークフロー管理,ワークフローの承認機能,高,4
ワークフロー管理,ワークフローの進行状況追跡,高,3
ワークフロー管理,ワークフローのテンプレート管理,中,3
ワークフロー管理,承認フローのカスタマイズ機能,中,4
ワークフロー管理,承認履歴の表示機能,中,2
ワークフロー管理,ワークフローのリマインダー機能,低,3
材料調達管理,材料一覧表示,高,2
材料調達管理,材料の新規登録機能,高,2
材料調達管理,材料の詳細表示,高,1
材料調達管理,材料の発注管理機能,高,4
材料調達管理,材料の入荷管理機能,高,3
材料調達管理,材料のコスト管理機能,高,3
材料調達管理,材料の検索・フィルタリング機能,中,2
材料調達管理,材料在庫の自動アラート機能,中,3
材料調達管理,材料使用履歴の追跡機能,低,3
資料管理,資料一覧表示（グリッド表示）,高,3
資料管理,資料一覧表示（リスト表示）,高,2
資料管理,表示形式の切り替え機能,高,1
資料管理,資料のアップロード機能,高,3
資料管理,資料のダウンロード機能,高,1
資料管理,資料のプレビュー機能,高,3
資料管理,資料の検索・フィルタリング機能,高,3
資料管理,フォルダによる資料分類機能,中,4
資料管理,資料へのタグ付け機能,中,2
資料管理,資料のバージョン管理,中,5
資料管理,資料へのコメント機能,低,3
資料管理,資料の共有設定機能,低,4
通知管理,メール通知機能,高,3
通知管理,Slack連携通知機能,高,4
通知管理,通知種別の設定機能,高,2
通知管理,通知チャネルの設定機能,中,2
通知管理,通知頻度の設定機能,中,2
通知管理,通知履歴の表示機能,低,2
マスタデータ管理,社員マスタ管理,高,3
マスタデータ管理,材料マスタ管理,高,3
マスタデータ管理,取引先マスタ管理,高,3
マスタデータ管理,マスタデータのインポート・エクスポート機能,中,3
マスタデータ管理,マスタデータの一括更新機能,低,4
レポート・分析,工事進捗レポート生成,中,5
レポート・分析,コスト分析レポート,中,5
レポート・分析,カスタムレポートの作成機能,低,7
レポート・分析,データの可視化（グラフ・チャート）,低,5
システム設定,ユーザー権限管理,高,4
システム設定,システム全体の設定管理,高,5
システム設定,バックアップ・リストア機能,中,4
システム設定,ログ管理機能,中,3
システム設定,システム使用状況の分析,低,4
UI/UX要件,レスポンシブデザイン対応,高,5
UI/UX要件,ダークモード対応,低,3
UI/UX要件,カスタムテーマ設定,低,4
UI/UX要件,ショートカットキー対応,低,2
インテグレーション,Slack連携,高,3
インテグレーション,カレンダーアプリ連携,中,4
インテグレーション,会計システム連携,中,6
インテグレーション,外部ストレージサービス連携,低,5
インテグレーション,API提供による他システム連携,低,7
